branch,file,cpu_core_score,front_panel_score,mash_score,mvk_score,input_board_score,mds_score,mup_score,aerosol_specific_score,water_specific_score,packet_export_score,probable_device_family,confidence,config_evidence_notes,screen_confirmed_modules,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,1.000,0.000,1.000,1.000,0.250,0.900,1.000,0.000,0.000,0.000,aps_like,confirmed,"screen_configuration evidence present; module labels and runtime states are config-level only, not function-level confirmation",MDS,screen evidence integrated conservatively; function addresses remain code-evidence only
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,1.000,0.000,0.000,1.000,0.250,0.150,1.000,0.000,0.000,0.000,aps_like,confirmed,,,heuristic cross-artifact scoring; weak claims kept hypothesis/unknown
90CYE_DKS,90CYE03_19_DKS.PZU,1.000,0.000,1.000,1.000,0.650,1.000,1.000,0.000,0.000,1.000,aps_like,confirmed,"screen_configuration evidence present; module labels and runtime states are config-level only, not function-level confirmation",MDS|MUP|PVK,anchors kept as hypotheses: 0x497A->0x737C->0x613C->0x84A6->0x728A; 0x6833 probable output-start; 0x5A7F packet/export ; screen evidence integrated conservatively; function addresses remain code-evidence only
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,1.000,0.000,0.000,1.000,0.250,0.150,1.000,0.000,0.000,0.000,aps_like,confirmed,,,heuristic cross-artifact scoring; weak claims kept hypothesis/unknown
90CYE_DKS,90CYE04_19_DKS.PZU,1.000,0.000,0.000,1.000,0.650,0.260,1.000,0.000,0.000,1.000,aps_like,confirmed,"screen_configuration evidence present; module labels and runtime states are config-level only, not function-level confirmation",MDS|MUP|PVK,anchors kept as hypotheses: 0x497A->0x737C->0x613C->0x84A6->0x728A; 0x6833 probable output-start; 0x5A7F packet/export ; screen evidence integrated conservatively; function addresses remain code-evidence only
A03_A04,A03_26.PZU,1.000,0.000,1.000,1.000,0.250,1.000,1.000,0.000,0.000,0.000,aps_like,confirmed,,,heuristic cross-artifact scoring; weak claims kept hypothesis/unknown
A03_A04,A04_28.PZU,1.000,0.000,0.000,1.000,0.250,0.150,1.000,0.000,0.000,0.000,aps_like,confirmed,,,heuristic cross-artifact scoring; weak claims kept hypothesis/unknown
RTOS_service,ppkp2001 90cye01.PZU,1.000,0.000,1.000,1.000,0.650,1.000,1.000,0.000,0.000,0.000,service_rtos_like,confirmed,"screen_configuration evidence present; module labels and runtime states are config-level only, not function-level confirmation",MASH|MDS|PVK,screen evidence integrated conservatively; function addresses remain code-evidence only
RTOS_service,ppkp2012 a01.PZU,1.000,0.000,0.000,1.000,0.650,0.260,1.000,0.000,0.000,0.000,service_rtos_like,confirmed,,,heuristic cross-artifact scoring; weak claims kept hypothesis/unknown
RTOS_service,ppkp2019 a02.PZU,1.000,0.000,0.000,1.000,0.650,0.260,1.000,0.000,0.000,0.000,service_rtos_like,confirmed,,,heuristic cross-artifact scoring; weak claims kept hypothesis/unknown
